id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
47643,I,1.025,0.75,0.2375,8.57572375,3.92640575,1.88524175,2.3530085,7.0
47644,M,1.3,1.025,0.35,18.01610725,7.01650125,4.40834725,5.8116475,10.0
47645,I,0.7125,0.5,0.2125,2.9766975,1.0489315,0.60951425,0.850485,6.0
47646,F,1.95,1.4625,0.575,71.31316725,26.26581175,11.566596,16.556108,15.0
47647,I,1.4,1.0875,0.4875,25.798045,9.8372765,5.8116475,11.3398,18.0
47648,I,1.0,0.725,0.225,8.51902475,3.912231,1.97029025,2.2396105,7.0
47649,M,1.1,0.85,0.25,10.886208,4.0539785,2.3530085,2.9766975,7.0
47650,F,1.675,1.3125,0.4875,45.26659975,13.42348825,10.602713,13.7495075,19.0
47651,M,1.775,1.375,0.525,53.4388075,26.3366855,11.623295,13.60776,11.0
47652,M,1.425,1.125,0.3875,22.66542525,9.525432,5.25883225,6.7188315,12.0
47653,F,1.7625,1.4,0.4875,45.472598,20.97863,11.963489,17.27902025,14.0
47654,I,1.425,1.075,0.3625,23.700182,11.3114505,4.89028875,6.23689,9.0
47655,F,1.5875,1.3,0.4125,45.529297,16.48523425,8.901743,12.3320325,19.0
47656,M,1.4,1.1,0.3125,24.73493875,9.695529,5.99591925,7.654365,15.0
47657,I,1.0125,0.7625,0.2625,7.9095105,3.55786225,1.7293195,2.26796,7.0
47658,I,0.6375,0.475,0.175,2.31048425,0.793786,0.5386405,0.8788345,5.0
47659,F,1.1875,0.8875,0.3125,12.48795475,5.74077375,3.6003865,3.8271825,8.0
47660,M,1.225,0.975,0.3375,20.0997955,7.200773,4.422522,6.23689,15.0
47661,M,1.5125,1.175,0.375,30.4190135,15.422128,6.16601625,8.788345,9.0
47662,F,1.6875,1.325,0.425,44.80638475,20.70930975,11.49572225,11.623295,10.0
47663,F,1.575,1.2375,0.3875,36.04638925,15.26620575,8.46232575,8.1363065,9.0
47664,I,1.1875,0.875,0.275,12.7289255,5.4147545,2.8066005,3.33106625,8.0
47665,F,1.6,1.2625,0.425,37.74735925,18.32795175,7.540967,9.4970825,11.0
47666,M,1.675,1.25,0.4375,39.9444455,16.0174675,7.3425205,11.7650425,11.0
47667,I,1.425,1.25,0.375,20.87940675,8.68912175,4.2240755,7.654365,9.0
47668,I,0.6625,0.4875,0.175,2.8066005,1.0489315,0.66621325,1.03475675,5.0
47669,F,1.625,1.2375,0.4125,36.61337925,17.8885345,9.8939755,8.9300925,9.0
47670,F,1.55,1.2125,0.4125,34.74231225,15.762322,7.29999625,8.94426725,13.0
47671,F,1.3375,1.0625,0.35,22.01338675,8.561549,4.86193925,7.654365,13.0
47672,F,1.1875,0.875,0.3,13.39513875,5.54232725,3.50116325,4.1106775,8.0
47673,I,1.25,0.95,0.35,17.08057375,8.32057825,4.479221,4.53592,8.0
47674,F,1.3125,1.0,0.3625,17.50581625,6.98815175,4.025629,5.953395,10.0
47675,M,1.1875,0.9125,0.3,12.54465375,5.443104,2.891649,3.8271825,9.0
47676,M,1.4875,1.175,0.5625,34.5580405,12.68640125,6.066793,13.60776,16.0
47677,F,1.3125,1.025,0.4,24.5790165,7.47009325,4.649318,10.3475675,17.0
47678,M,1.525,1.175,0.4,34.23202125,15.43630275,6.08096775,8.221355,13.0
47679,I,0.9,0.675,0.225,6.30776375,2.83495,1.20485375,1.984465,6.0
47680,M,1.45,1.1125,0.375,26.3366855,11.1980525,5.216308,7.654365,8.0
47681,I,1.3,1.0,0.375,18.80989325,7.98038425,3.7704835,6.0951425,8.0
47682,F,1.4,1.1,0.3625,25.92561775,10.0640725,5.23048275,7.087375,11.0
47683,I,1.425,1.1125,0.3875,24.11124975,11.38232425,4.8477645,7.4559185,11.0
47684,F,1.175,0.9125,0.3125,13.48018725,5.6982495,2.65067825,4.3941725,8.0
47685,F,1.325,1.05,0.325,19.74542675,8.46232575,4.12485225,5.20213325,12.0
47686,M,1.3,1.0,0.3375,20.184844,9.68135425,4.025629,5.953395,9.0
47687,M,1.125,0.875,0.325,14.67086625,5.10291,3.50116325,3.96893,8.0
47688,M,1.6125,1.275,0.4375,41.23434775,16.31513725,7.711064,11.7650425,10.0
47689,F,1.225,0.9875,0.4125,21.72989175,7.597666,3.95475525,7.087375,13.0
47690,F,1.5875,1.25,0.5,36.27318525,14.52911875,8.2497045,10.489315,15.0
47691,F,1.275,0.975,0.325,23.88445375,10.61688775,4.7343665,5.2446575,10.0
47692,F,1.525,1.2875,0.425,36.18813675,12.47378,8.03708325,11.623295,15.0
47693,F,1.6125,1.2625,0.4875,48.7327905,16.48523425,9.39785925,13.7495075,12.0
47694,F,1.5625,1.2625,0.45,36.230661,16.96717575,7.78193775,10.20582,14.0
47695,M,1.525,1.15,0.4,26.308336,13.93377925,5.1879585,7.7961125,9.0
47696,F,1.2,0.95,0.3125,18.38465075,7.29999625,4.819415,5.216308,10.0
47697,M,1.5625,1.25,0.3875,36.61337925,16.612807,7.994559,8.3631025,11.0
47698,I,0.7875,0.625,0.175,4.94698775,1.77184375,1.13398,1.13398,6.0
47699,M,1.1625,0.875,0.3,15.2236815,5.3013565,3.50116325,5.10291,10.0
47700,M,1.5,1.2375,0.4,34.699788,14.4298955,7.3992195,10.20582,16.0
47701,I,0.9875,0.7375,0.25,8.8733935,3.798833,1.3891255,2.4097075,7.0
47702,M,1.1875,0.8875,0.3,13.834556,5.96756975,3.458639,3.8271825,9.0
47703,I,0.7125,0.575,0.2,3.1467945,1.587572,0.80796075,0.850485,5.0
47704,F,1.2,0.8875,0.3125,14.17475,6.59125875,3.27436725,3.8271825,8.0
47705,I,0.7875,0.575,0.15,3.6570855,1.74349425,0.5953395,1.13398,7.0
47706,M,1.4,1.125,0.3625,24.67823975,10.33339275,5.91087075,7.087375,10.0
47707,F,1.6875,1.3125,0.575,49.54075125,20.1564945,11.38232425,17.0097,18.0
47708,I,1.0875,0.825,0.275,11.2547515,5.8683465,2.664853,2.9766975,8.0
47709,I,1.075,0.8125,0.25,10.02154825,4.97533725,2.25378525,2.5798045,7.0
47710,M,1.4375,1.1875,0.5375,30.71668325,11.94931425,6.4353365,8.9300925,14.0
47711,M,1.5625,1.2375,0.4,31.638042,13.53688625,8.391452,9.56795625,11.0
47712,I,1.5125,1.175,0.3625,27.76833525,11.793392,5.386405,7.93786,8.0
47713,F,1.075,0.8125,0.25,10.942907,4.706017,2.22543575,2.83495,8.0
47714,M,1.275,1.1375,0.375,22.4244545,10.6310625,5.14543425,6.6621325,10.0
47715,F,1.6875,1.3125,0.475,44.0834725,19.447757,9.31281075,12.6155275,12.0
47716,I,1.0125,0.7875,0.275,10.886208,4.26659975,2.097863,3.118445,10.0
47717,I,0.65,0.4875,0.175,2.721552,1.0489315,0.52446575,0.850485,6.0
47718,I,1.1,0.8625,0.3,12.7856245,5.8683465,3.3168915,3.33106625,7.0
47719,I,0.95,0.725,0.25,8.5331995,3.55786225,1.85689225,2.664853,6.0
47720,I,0.925,0.7125,0.2375,7.9095105,3.515338,1.70097,2.1262125,7.0
47721,F,1.625,1.275,0.4,29.3417325,12.43125575,5.9250455,8.0796075,9.0
47722,F,1.7,1.3125,0.575,43.64405525,17.22232125,10.546014,11.1980525,11.0
47723,M,1.55,1.2,0.4375,34.9549335,17.9452335,7.540967,10.0640725,10.0
47724,I,0.625,0.4875,0.175,3.3168915,1.644271,0.63786375,0.69456275,5.0
47725,M,1.3375,1.05,0.3875,24.7491135,10.829509,5.783298,7.7961125,10.0
47726,I,0.6875,0.5,0.1625,2.8066005,1.0489315,0.56699,0.850485,7.0
47727,M,1.675,1.35,0.5125,39.87357175,19.731252,8.68912175,11.056305,12.0
47728,M,1.475,1.175,0.4125,27.8675585,11.1413535,6.87475375,8.9300925,15.0
47729,M,1.0375,0.8125,0.25,10.375917,4.9044635,2.48058125,3.4869885,9.0
47730,I,1.25,0.95,0.3,15.87572,7.38504475,3.01922175,4.819415,8.0
47731,I,1.175,0.875,0.25,13.39513875,5.54232725,2.9766975,3.8271825,7.0
47732,M,1.45,1.15,0.3125,26.365035,11.29727575,4.479221,7.767763,12.0
47733,M,1.6,1.275,0.4125,43.02036625,19.6462035,8.83086925,11.5949455,10.0
47734,I,1.125,0.85,0.2625,13.2392165,5.74077375,2.8066005,3.2601925,7.0
47735,F,1.4875,1.1875,0.375,30.43318825,12.94154675,6.80388,8.788345,10.0
47736,F,1.4125,1.1,0.45,29.937072,11.4248485,6.56290925,8.15048125,14.0
47737,M,1.6875,1.3125,0.4875,41.4753185,17.56251525,9.128539,12.0485375,10.0
47738,M,1.375,1.0625,0.3125,21.999212,9.48290775,4.91863825,6.87475375,9.0
47739,I,1.3125,1.0625,0.4125,20.921931,10.47514025,4.706017,5.03203625,8.0
47740,F,1.6125,1.275,0.45,42.297454,20.53921275,9.00096625,13.891255,9.0
47741,M,1.475,1.1625,0.375,28.8314415,15.06775925,6.066793,7.597666,9.0
47742,M,1.4125,1.1125,0.375,24.76328825,9.87980075,6.1518415,8.50485,13.0
47743,M,1.4875,1.1625,0.45,31.70891575,14.3164975,7.3425205,8.788345,12.0
47744,M,1.475,1.175,0.375,26.818627,11.679994,6.47786075,7.66853975,8.0
47745,F,1.4625,1.1375,0.35,26.08154,11.5949455,5.216308,7.654365,12.0
47746,I,1.1625,0.925,0.275,14.61416725,6.50621025,2.50893075,4.1106775,8.0
47747,M,1.725,1.4,0.4375,47.86813075,21.581737,10.50348975,13.04077,11.0
47748,M,1.6,1.25,0.45,41.00755175,19.674553,9.015141,10.64523725,11.0
47749,M,1.1375,0.875,0.3375,15.43630275,7.10154975,4.43669675,3.92640575,10.0
47750,M,1.6125,1.2625,0.4875,45.472598,21.262125,8.2497045,12.40290625,10.0
47751,I,0.9375,0.725,0.25,7.83863675,3.1467945,1.48834875,2.1262125,7.0
47752,M,1.7125,1.375,0.5,50.2636635,25.3161035,11.226402,11.7650425,10.0
47753,I,0.6875,0.5125,0.175,2.96252275,12.020188,0.5386405,0.9922325,5.0
47754,M,1.475,1.1375,0.3625,34.37376875,14.061352,6.13766675,8.3631025,10.0
47755,F,1.4625,1.175,0.4125,26.1098895,11.35397475,4.60679375,8.3631025,13.0
47756,M,1.3,0.9875,0.3125,15.71979775,6.13766675,3.61456125,6.0951425,12.0
47757,F,1.6125,1.25,0.475,35.62114675,14.13222575,9.22776225,11.056305,11.0
47758,F,1.725,1.325,0.4875,43.1762885,17.33571925,10.19164525,12.40290625,11.0
47759,M,1.6375,1.3125,0.4,41.4753185,17.78931125,10.6310625,10.7444605,9.0
47760,I,0.9625,0.7125,0.225,6.7755305,2.721552,1.74349425,2.26796,8.0
47761,M,1.475,1.125,0.375,30.6458095,14.401546,7.41339425,7.087375,10.0
47762,F,1.6375,1.3125,0.4375,41.31939625,17.973583,8.4765005,11.509897,11.0
47763,F,1.6125,1.25,0.375,32.375129,16.4710595,6.36446275,8.0796075,9.0
47764,I,0.7,0.525,0.15,2.7499015,1.0489315,0.623689,0.850485,9.0
47765,I,1.1,0.8625,0.3125,10.73028575,4.649318,2.2963095,3.5436875,9.0
47766,F,1.5125,1.2375,0.4875,37.3929905,11.4248485,6.917278,13.60776,20.0
47767,M,1.5,1.225,0.4625,34.23202125,12.60135275,4.6776675,13.1825175,14.0
47768,M,1.2,0.975,0.3125,15.37960375,6.13766675,3.13261975,5.2446575,9.0
47769,I,1.2125,0.8875,0.2625,14.004653,6.25106475,2.7499015,3.96893,8.0
47770,M,1.5125,1.15,0.4125,33.1972645,18.38465075,7.3425205,7.3425205,11.0
47771,M,1.125,0.825,0.275,14.004653,5.37223025,2.324659,3.96893,12.0
47772,M,1.325,1.025,0.375,22.75047375,8.85921875,4.3941725,6.80388,12.0
47773,I,0.925,0.7,0.2125,6.1518415,3.0900955,1.28990225,1.644271,6.0
47774,M,1.55,1.1875,0.4,34.5013415,17.08057375,6.67630725,8.9300925,9.0
47775,M,1.6875,1.3,0.45,38.03085425,19.09338825,8.561549,10.0640725,11.0
47776,I,0.7,0.55,0.1625,3.30271675,1.65844575,1.190679,0.9922325,6.0
47777,M,1.6125,1.2,0.3875,37.42134,18.8524175,7.2858215,9.48290775,9.0
47778,I,0.5875,0.425,0.1625,1.8994165,0.737087,0.29766975,0.5386405,4.0
47779,I,1.2,0.9875,0.3125,15.5071765,5.6982495,3.98310475,3.98310475,9.0
47780,F,1.5875,1.25,0.375,36.85435,18.2287285,8.0229085,8.91591775,9.0
47781,I,0.8625,0.6375,0.225,4.74854125,2.0128145,1.13398,1.70097,6.0
47782,M,1.3625,1.0875,0.35,19.43358225,8.3631025,4.66349275,6.3786375,10.0
47783,M,1.5875,1.2875,0.45,38.5269705,14.64251675,7.29999625,11.623295,15.0
47784,F,1.4125,1.0875,0.325,22.736299,9.53960675,4.60679375,7.654365,10.0
47785,I,1.1125,0.8625,0.325,13.39513875,5.82582225,2.721552,3.5436875,8.0
47786,M,1.775,1.375,0.4875,42.99201675,15.422128,10.6877615,16.0174675,17.0
47787,I,0.9,0.675,0.2125,6.59125875,2.6365035,1.54504775,1.984465,8.0
47788,M,1.25,1.0,0.325,18.01610725,7.711064,4.479221,5.2446575,8.0
47789,M,1.425,1.0625,0.4125,24.94756,12.51630425,5.42892925,6.23689,9.0
47790,I,0.9,0.6875,0.2375,6.23689,2.36718325,1.13398,1.71514475,6.0
47791,I,0.9625,0.7,0.2375,6.13766675,2.65067825,1.54504775,1.984465,6.0
47792,F,1.3625,1.025,0.3375,18.95164075,7.69688925,4.195726,5.6699,12.0
47793,M,1.225,0.9375,0.3125,16.159215,6.98815175,3.58621175,5.2446575,8.0
47794,I,1.25,1.0,0.3,16.669506,7.200773,3.8838815,5.5281525,9.0
47795,M,1.2375,0.975,0.3,16.88212725,7.1724235,3.40194,4.53592,7.0
47796,I,1.175,0.9,0.2875,14.0330025,6.64795775,3.0333965,4.1106775,9.0
47797,I,0.825,0.65,0.2,5.10291,2.02698925,1.09145575,1.70097,7.0
47798,F,1.25,0.95,0.425,18.69649525,8.8166945,4.35164825,5.5281525,9.0
47799,M,1.5125,1.1625,0.375,30.0221205,14.288148,6.406987,7.7961125,9.0
47800,I,1.25,0.9625,0.3125,15.35125425,7.72523875,2.56562975,4.819415,8.0
47801,M,1.4375,1.125,0.4125,30.03629525,12.47378,5.99591925,9.2135875,10.0
47802,I,0.65,0.5125,0.175,2.721552,1.0489315,0.4819415,0.850485,5.0
47803,I,0.925,0.725,0.2375,7.95203475,3.40194,1.88524175,2.1262125,8.0
47804,F,1.4125,1.075,0.4,26.69105425,11.16494475,6.76135575,7.7961125,11.0
47805,M,1.3875,1.1,0.35,23.0481435,10.47514025,4.309124,7.37087,10.0
47806,F,1.6125,1.225,0.475,32.16250775,12.3320325,7.200773,9.355335,9.0
47807,I,0.9625,0.725,0.25,6.84640425,2.83495,1.6159215,2.551455,7.0
47808,M,1.3125,0.975,0.3375,19.74542675,9.93649975,3.13261975,5.2446575,9.0
47809,M,1.55,1.2125,0.375,30.34813975,10.5176645,5.8683465,10.20582,11.0
47810,I,0.725,0.525,0.1875,2.96252275,1.17650425,0.623689,0.9922325,4.0
47811,I,1.0625,0.825,0.275,10.64523725,4.32329875,2.2963095,3.5436875,6.0
47812,I,1.125,0.8,0.2625,12.47378,5.499803,2.324659,2.551455,6.0
47813,F,1.425,1.0875,0.4375,25.44367625,10.3475675,6.59125875,7.2291225,10.0
47814,F,1.1875,0.9125,0.3,13.56523575,5.08873525,2.96252275,4.9611625,8.0
47815,M,0.9375,0.75,0.25,7.72523875,3.2601925,1.757669,2.4097075,7.0
47816,I,0.925,0.7,0.225,6.7188315,3.572037,1.11980525,2.324659,7.0
47817,I,0.9625,0.7125,0.2375,9.93649975,3.8838815,1.4458245,2.26796,7.0
47818,F,1.4375,1.125,0.4125,26.01066625,10.9145575,5.59902625,9.4970825,12.0
47819,I,1.375,1.1,0.375,24.99008425,11.18387775,5.82582225,6.6621325,9.0
47820,F,1.275,1.0,0.3125,18.86659225,8.29222875,3.742134,4.69184225,9.0
47821,M,1.25,1.0,0.3125,16.31513725,7.52679225,3.515338,4.819415,9.0
47822,F,1.7625,1.4125,0.5375,49.85259575,25.47202575,10.24834425,15.7339725,20.0
47823,F,1.425,1.1125,0.5125,31.808139,8.0796075,6.22271525,9.63883,19.0
47824,M,1.4875,1.15,0.4,26.535132,13.08329425,4.72019175,6.9456275,9.0
47825,F,1.4,1.1125,0.3875,24.99008425,11.72251825,5.9250455,7.2291225,12.0
47826,M,1.2125,0.9,0.2625,13.8062065,6.02426875,3.4869885,4.3941725,8.0
47827,M,1.4625,1.15,0.4625,27.37144225,10.4609655,4.932813,8.15048125,12.0
47828,I,1.15,0.85,0.275,11.55242125,5.06038575,2.42388225,2.9766975,7.0
47829,F,1.4375,1.125,0.325,24.16794875,8.3631025,4.72019175,8.3631025,19.0
47830,M,1.1875,0.9,0.3375,14.4865945,5.71242425,3.67126025,4.3941725,12.0
47831,M,1.55,1.2,0.425,33.8776525,14.89766225,8.391452,10.0640725,10.0
47832,M,1.5,1.125,0.375,24.38057,11.793392,5.6699,6.520385,10.0
47833,F,1.4375,1.1625,0.4,29.95124675,12.79979925,6.98815175,8.9300925,12.0
47834,I,1.1125,0.825,0.25,10.716111,4.0539785,2.84912475,2.4097075,6.0
47835,I,1.0625,0.8,0.275,10.33339275,4.55009475,1.814368,2.9766975,8.0
47836,F,1.225,0.975,0.3375,19.94387325,9.05766525,3.798833,5.2446575,7.0
47837,M,1.4125,1.0625,0.4375,26.83280175,10.149121,6.08096775,10.6310625,15.0
47838,F,1.5375,1.2125,0.375,35.0116325,15.4504775,7.86698625,9.7805775,9.0
47839,F,1.425,1.1125,0.3625,23.926978,10.61688775,5.06038575,6.6621325,9.0
47840,I,1.25,0.95,0.3125,16.93882625,7.087375,3.345241,4.3941725,8.0
47841,M,1.5625,1.225,0.4125,30.03629525,13.664459,6.13766675,8.3631025,9.0
47842,I,0.6625,0.5125,0.1625,2.93417325,1.34660125,0.55281525,0.9922325,6.0
47843,I,1.1875,0.875,0.2625,12.7856245,5.4147545,2.8066005,3.86970675,8.0
47844,F,1.6875,1.325,0.475,41.00755175,17.39241825,9.17106325,11.4815475,11.0
47845,I,1.4625,1.125,0.375,22.72212425,9.6104805,4.4508715,7.5126175,11.0
47846,I,0.725,0.525,0.1125,3.30271675,1.587572,0.58116475,0.850485,5.0
47847,F,1.525,1.175,0.3875,31.70891575,11.15552825,6.9456275,8.23552975,14.0
47848,I,1.1875,0.9125,0.3125,14.81261375,6.860579,3.0333965,4.6776675,8.0
47849,M,1.575,1.325,0.4875,41.7588135,18.597272,9.525432,12.643877,14.0
47850,M,1.5375,1.175,0.375,25.58542375,11.75086775,5.88252125,6.6621325,9.0
47851,I,0.475,0.325,0.1,0.77961125,0.35436875,0.226796,0.2551455,4.0
47852,F,1.3,1.0,0.3625,17.7184375,6.13766675,3.07592075,5.953395,14.0
47853,I,1.0875,0.8125,0.3,10.44679075,4.26659975,1.80019325,2.9766975,8.0
47854,M,1.4125,1.1,0.325,23.51591025,10.78698475,5.23048275,5.5281525,9.0
47855,F,1.6875,1.3625,0.4875,47.18774275,19.94387325,10.56018875,12.6155275,18.0
47856,M,1.675,1.3125,0.4,42.2124055,18.257078,8.66077225,11.056305,11.0
47857,F,1.1625,0.8875,0.3,13.324265,5.839997,3.345241,4.53592,15.0
47858,F,1.5375,1.2375,0.4125,31.241149,12.587178,6.010094,11.7650425,15.0
47859,M,1.425,1.125,0.375,23.11901725,11.8784405,5.1879585,6.9456275,13.0
47860,I,1.375,1.0625,0.35,23.71435675,11.1413535,4.2807745,6.0951425,8.0
47861,F,1.4875,1.15,0.425,29.97959625,12.3320325,7.83863675,11.1980525,14.0
47862,I,1.1625,0.9125,0.3125,15.35125425,6.7188315,3.30271675,4.6776675,8.0
47863,F,1.7375,1.425,0.425,45.7277435,19.94387325,11.12717875,12.757275,13.0
47864,M,1.075,0.8625,0.2625,10.33339275,4.6776675,2.42388225,3.5436875,12.0
47865,I,0.525,0.375,0.1625,1.45999925,0.6520385,0.3118445,0.3685435,5.0
47866,M,1.4125,1.1375,0.3375,24.777463,11.396499,4.762716,7.7961125,11.0
47867,M,1.625,1.2625,0.4125,39.76017375,19.731252,8.88756825,9.355335,10.0
47868,I,1.3,1.025,0.2875,19.80212575,8.34892775,3.8838815,5.5281525,9.0
47869,F,1.7,1.375,0.5,52.7017205,20.695135,10.546014,13.834556,11.0
47870,M,1.4125,1.1,0.4375,23.71435675,9.19941275,5.6699,7.72523875,12.0
47871,I,0.6875,0.5125,0.1875,3.81300775,1.85689225,0.80796075,1.2757275,8.0
47872,F,1.4375,1.0875,0.3875,25.86891875,7.540967,5.6699,9.4970825,14.0
47873,M,1.6,1.2875,0.4125,38.79629075,19.391058,7.75358825,9.63883,11.0
47874,M,1.25,0.9375,0.3125,14.7133905,6.6054335,2.9199985,4.66349275,10.0
47875,M,1.25,0.9375,0.3625,17.05222425,7.1157245,3.8271825,5.10291,10.0
47876,F,1.4875,1.2125,0.5,35.19590425,11.736693,6.93145275,11.90679,20.0
47877,I,1.0625,0.825,0.275,10.02154825,5.5281525,2.22543575,2.83495,8.0
47878,I,1.1375,0.9125,0.3,13.93377925,6.25106475,3.01922175,4.819415,8.0
47879,I,1.25,0.9375,0.3125,17.36406875,6.7755305,3.30271675,5.2446575,8.0
47880,I,1.3,1.05,0.3625,21.36134825,9.99319875,4.66349275,5.953395,10.0
47881,M,1.6125,1.225,0.45,32.21920675,15.52135125,6.577084,8.6465975,12.0
47882,I,0.6375,0.4625,0.15,2.608154,1.020582,0.52446575,0.7087375,5.0
47883,M,1.4,1.0875,0.4125,25.0326085,11.453198,6.1518415,7.2291225,9.0
47884,F,1.725,1.35,0.4875,52.900167,21.33299875,12.77144975,14.17475,19.0
47885,F,1.1,0.8875,0.3375,14.81261375,5.896696,2.9766975,4.3941725,15.0
47886,I,1.1125,0.85,0.3375,12.530479,4.309124,2.67902775,3.35941575,10.0
47887,M,1.6125,1.275,0.4125,39.7743485,17.16562225,8.57572375,9.922325,13.0
47888,I,0.8125,0.575,0.1875,3.6003865,1.17650425,0.623689,1.00640725,6.0
47889,M,1.5125,1.175,0.375,28.81726675,12.99824575,6.95980225,8.3631025,9.0
47890,M,1.3125,1.0,0.35,18.427175,8.561549,4.57844425,5.9250455,9.0
47891,F,1.7,1.325,0.4375,48.7327905,19.37688325,10.9712565,13.7495075,17.0
47892,I,0.6875,0.5125,0.1875,2.31048425,0.94970825,0.52446575,0.8788345,5.0
47893,F,1.6375,1.35,0.4375,41.0784255,19.54698025,9.185238,11.77921725,11.0
47894,F,1.55,1.175,0.375,26.2799865,9.865626,5.96756975,8.9300925,13.0
47895,F,1.5375,1.1875,0.4625,31.62386725,10.21999475,6.67630725,10.489315,16.0
47896,F,1.6875,1.3125,0.475,43.318036,20.79435825,8.618248,11.4815475,10.0
47897,M,1.5,1.225,0.475,29.18581025,11.623295,7.24329725,8.3631025,11.0
47898,F,1.575,1.2375,0.4,33.52328375,14.4298955,8.674947,9.63883,11.0
47899,I,1.1375,0.85,0.275,12.54465375,5.11708475,2.42388225,3.5436875,10.0
47900,F,1.5125,1.1875,0.4125,31.2694985,10.432616,5.4714535,9.07184,20.0
47901,F,1.2125,0.9125,0.3375,13.05494475,5.03203625,2.83495,4.3941725,8.0
47902,M,1.4875,1.175,0.325,27.499015,14.04717725,5.48562825,7.49844275,9.0
47903,F,1.5625,1.225,0.4125,31.18445,13.4660125,7.484268,8.3064035,11.0
47904,F,1.625,1.2625,0.4375,39.98696975,19.5895045,9.22776225,10.61688775,13.0
47905,F,1.4875,1.175,0.4375,37.63396125,16.612807,7.27164675,11.3398,19.0
47906,M,1.6125,1.225,0.425,33.26813825,15.5071765,6.64795775,9.7805775,10.0
47907,M,1.425,1.1625,0.3875,25.58542375,7.10154975,5.5281525,8.3631025,15.0
47908,M,1.4625,1.175,0.425,34.45881725,16.4710595,7.824462,10.20582,9.0
47909,M,1.325,1.0,0.375,16.79707875,6.406987,3.4869885,5.5281525,21.0
47910,F,1.0625,0.775,0.2875,10.886208,4.0539785,2.26796,2.83495,6.0
47911,M,1.6375,1.3125,0.4875,38.55532,17.8885345,8.29222875,10.489315,10.0
47912,F,1.475,1.1875,0.3125,30.4190135,12.927372,5.6415505,10.3475675,13.0
47913,F,1.475,1.125,0.375,30.14969325,9.76640275,5.59902625,8.9300925,14.0
47914,I,1.1125,0.875,0.3125,12.99824575,5.499803,2.8066005,3.685435,7.0
47915,F,1.475,1.225,0.375,28.64716975,13.2959155,6.27941425,7.5126175,10.0
47916,F,1.475,1.0875,0.35,22.77882325,10.149121,5.159609,6.23689,9.0
47917,F,1.35,1.025,0.35,22.75047375,7.994559,5.1312595,6.0951425,14.0
47918,M,1.275,1.0125,0.375,20.97863,10.4042665,3.4869885,5.6699,9.0
47919,F,1.3625,1.125,0.3375,23.85610425,10.432616,5.896696,5.5281525,12.0
47920,I,1.4875,1.1625,0.35,27.6974615,13.42348825,6.30776375,7.04485075,9.0
47921,F,1.25,0.975,0.3625,15.5638755,6.5487345,3.118445,6.6621325,23.0
47922,M,1.2,0.925,0.3125,15.23785625,5.65572525,3.572037,5.2446575,11.0
47923,I,1.225,0.9625,0.325,16.499409,6.6054335,2.73572675,5.10291,9.0
47924,M,1.2625,0.9625,0.3125,19.447757,11.43902325,3.38776525,4.5642695,8.0
47925,M,1.65,1.2625,0.4375,38.51279575,16.51358375,7.52679225,10.3475675,11.0
47926,M,0.9625,0.7625,0.2375,7.83863675,3.061746,1.77184375,1.984465,6.0
47927,I,0.6375,0.4875,0.1625,2.84912475,1.077281,0.5953395,0.7087375,6.0
47928,I,0.675,0.525,0.1625,3.005047,1.17650425,0.623689,0.9922325,6.0
47929,M,1.725,1.375,0.45,47.7689075,24.1821235,9.241937,11.90679,9.0
47930,I,0.875,0.65,0.325,5.9250455,2.211261,1.37495075,1.984465,8.0
47931,M,1.4125,1.1375,0.35,26.251637,12.3320325,5.9250455,7.7961125,10.0
47932,M,1.45,1.15,0.425,28.50542225,10.2908685,6.860579,7.5126175,15.0
47933,M,0.9,0.6125,0.1625,4.6209685,2.31048425,0.83631025,1.70097,6.0
47934,M,1.4375,1.125,0.3875,26.80445225,11.0846545,5.5281525,7.087375,10.0
47935,I,1.4375,1.1625,0.35,22.55202725,11.8784405,4.12485225,6.80388,8.0
47936,I,1.225,0.9125,0.2875,13.22504175,5.34388075,2.4664065,4.252425,8.0
47937,M,1.4125,1.1,0.3625,25.44367625,11.8784405,5.17378375,7.37087,9.0
47938,M,1.525,1.175,0.375,28.76056775,12.06271225,6.690482,7.5126175,11.0
47939,M,1.525,1.2125,0.4,31.6096925,13.79203175,6.80388,9.63883,8.0
47940,I,0.9375,0.6875,0.2,6.87475375,4.69184225,1.70097,1.984465,7.0
47941,I,0.9625,0.725,0.2375,6.23689,2.42388225,1.6726205,2.1262125,8.0
47942,M,1.5625,1.2625,0.4125,32.16250775,13.31009025,7.200773,9.6671795,10.0
47943,M,1.175,0.8875,0.275,14.81261375,6.2652395,2.778251,3.5436875,12.0
47944,I,0.9375,0.6875,0.225,6.13766675,2.721552,1.0489315,1.74349425,6.0
47945,F,1.5625,1.2125,0.45,37.23706825,17.1514475,8.60407325,8.9300925,13.0
47946,M,1.4875,1.2375,0.375,32.41765325,15.15280775,8.09378225,8.0796075,10.0
47947,M,1.6,1.2125,0.4375,38.88133925,16.612807,8.63242275,10.489315,9.0
47948,F,1.5,1.1375,0.3875,34.0477495,16.4710595,8.15048125,8.3631025,11.0
47949,F,1.6375,1.325,0.475,42.48172575,16.045817,8.83086925,11.623295,11.0
47950,F,1.525,1.225,0.3875,29.27085875,11.12717875,6.67630725,8.9300925,14.0
